"Record ID","Intake Date","Intake Channel","Business Category","Complaint Code","Business Unique ID","Business Name","Result Date","Result","Referred To","Contract Cancelled Amount","Refund Amount","Building Nbr","Street1","Unit Type","Apt/Suite","City","Postcode","Borough"
"071737-2025-CMPL","08/23/2025","311","Other","Advertising/Misleading - A02","BA-1744758-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","08/25/2025","No Jurisdiction",,,,"633","3RD AVE",,,"NEW YORK","10017","Manhattan"
"071694-2025-CMPL","08/23/2025","311","Specialized Vending License - MFV","Overcharge","BA-1744710-2025","Sam halal and food inc","08/25/2025","Referred","Other",,,"537","5TH AVE",,"Street","NEW YORK","10017","Manhattan"
"071701-2025-CMPL","08/23/2025","311","Other","Advertising/Misleading - A02","BA-1744717-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","08/25/2025","Complaint Review Complete",,,,"633","3RD AVE",,,"NEW YORK","10017","Manhattan"
"071721-2025-CMPL","08/23/2025","311","Car Wash","Unlicensed","BA-1744740-2025","Doc 74","08/25/2025","Referred","NYC Department of Sanitation",,,"730","CONEY ISLAND AVE",,,"BROOKLYN","11218","Brooklyn"
"071699-2025-CMPL","08/23/2025","311","Car Wash","Unlicensed","BA-1744715-2025","Illegal Car Wash","08/25/2025","Referred","NYC Department of Sanitation",,,"2357","89TH ST",,,"EAST ELMHURST","11369","Queens"
"071738-2025-CMPL","08/23/2025","311","Misc Non-Food Retail","Exchange/Refund/Return","BA-1744759-2025","hb wines and liquors","08/25/2025","No Jurisdiction",,,,"1806","CEDAR AVE",,,"BRONX","10453","Bronx"
"071698-2025-CMPL","08/23/2025","311","Other","Unlicensed","BA-1744714-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","08/25/2025","No Jurisdiction",,,,"633","3RD AVE",,,"NEW YORK","10017","Manhattan"
"071700-2025-CMPL","08/23/2025","311","Other","Unlicensed","BA-1744716-2025","JAXS AUTOMOTIVE","08/25/2025","Referred","NYC Police Department",,,"12214","116TH AVE",,,"SOUTH OZONE PARK","11420","Queens"
"071714-2025-CMPL","08/23/2025","311","Temporary Street Fair Vendor Permit","Unlicensed","BA-1744730-2025","n/a","08/25/2025","Referred","NYC Department of Sanitation",,,,"BROADWAY",,,,"10013","Manhattan"
"071705-2025-CMPL","08/23/2025","311","Other","Sidewalk Blocked","BA-1744721-2025","ROSARIO FAMILY CIGAR BUISNESS","08/25/2025","Referred","Other",,,,"323 EAST GUN HILL ROAD",,"SIDEWALK","BRONX","10467","Bronx"
"071703-2025-CMPL","08/23/2025","311","Other","Unlicensed","BA-1744719-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","08/25/2025","No Jurisdiction",,,,"633","3RD AVE",,,"NEW YORK","10017","Manhattan"
"071739-2025-CMPL","08/23/2025","311","Drug Store Retail","Non-Delivery of Goods - N01","BA-1108047-2022","ABA NOUB, LTD.","08/25/2025","Referred","Other",,,"216","W 72ND ST",,,"NEW YORK","10023","Manhattan"
"071696-2025-CMPL","08/23/2025","311","Misc Non-Food Retail","Price Not Posted; Cashless Business","BA-1736603-2025","MOBILE FOOD VENDOR","08/25/2025","Complaint Review Complete",,,,,"WASHINGTON STREET",,,"BROOKLYN","11201","Brooklyn"
"071702-2025-CMPL","08/23/2025","311","Other","Other - Z01","BA-1744718-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","08/25/2025","No Jurisdiction",,,,"633","3RD AVE",,,"NEW YORK","10017","Manhattan"
"071724-2025-CMPL","08/23/2025","311","Tow Truck Company","Unsolicited/Unauthorized Services","BA-1311071-2022","JUSTIN'S TOWING & STORAGE INC","08/26/2025","Insufficient Info Received",,,,"10001","LIBERTY AVE",,,"OZONE PARK","11417","Queens"
"071733-2025-CMPL","08/23/2025","311","Misc Non-Food Retail","Refund or Return Policy Not Posted or Provided","BA-1744754-2025","Top Alumeinum","09/25/2025","Requested Information Not Provided",,,,"757","3RD AVE",,,"BROOKLYN","11232","Brooklyn"
"071708-2025-CMPL","08/23/2025","311","Salons And Barbershop","Overcharge","BA-1744724-2025","Shonette Rose","09/24/2025","Requested Information Not Provided",,,,"1930B","NOSTRAND AVENUE",,,"BROOKLYN","11210","Brooklyn"
"071719-2025-CMPL","08/23/2025","311","Tow Truck Company","Billing Dispute - B02","BA-1744738-2025","On Track Towing & Transport","09/24/2025","Requested Information Not Provided",,,,"1771","MCDONALD AVE",,,"BROOKLYN","11230",
"071725-2025-CMPL","08/23/2025","311","Tow Truck Company","Unsolicited/Unauthorized Services","BA-1744744-2025","On Track Towing and transport","09/24/2025","Requested Information Not Provided",,,,"1771","MCDONALD AVE",,,"BROOKLYN","11230",
"071734-2025-CMPL","08/23/2025","Online","Other",,"BA-1744755-2025","Air France (air Nationale)","09/17/2025","Referred","Other",,,,"1450 Broadway FL 24",,,"New York","10018",
"071742-2025-CMPL","08/23/2025","311","Retail Laundry","Advertising/Misleading - A02","BA-1744852-2025","OCEAN LAUNDROMAT INC","09/24/2025","Requested Information Not Provided",,,,"104","SAINT NICHOLAS AVE",,"Laundromat","BROOKLYN","11237","Brooklyn"
"071704-2025-CMPL","08/23/2025","Online","Other",,"BA-1681578-2023","BLINK FITNESS BED STUY","09/17/2025","No Jurisdiction",,,,,"1413 Fulton St",,,"Brooklyn","11216","Brooklyn"
"071736-2025-CMPL","08/23/2025","311","Storage Warehouse","Billing Dispute - B02","BA-1744757-2025","EXTRA SPACE STORAGE","09/24/2025","Requested Information Not Provided",,,,"201","64TH ST",,,"BROOKLYN","11220","Brooklyn"
"071716-2025-CMPL","08/23/2025","311","Other","Receipt Incomplete/Inaccurate/Not Given","BA-1744855-2025","smy table tennis club","09/24/2025","Requested Information Not Provided",,,,"13241","41ST RD",,,"FLUSHING","11355","Queens"
"071728-2025-CMPL","08/23/2025","Online","Grocery-Retail",,"BA-1744749-2025","EAST NEW YORK GROCERY CORP.","09/17/2025","Referred","NYS Office of the Attorney General",,,,"981 E New York Ave",,,"Brooklyn","11212","Brooklyn"
"071731-2025-CMPL","08/23/2025","Online","Landlord or Real Estate Agent","Broker Fee Listed","BA-1744752-2025","STEVEN APUZZI REALTY","09/17/2025","Complaint Review Complete",,,,"2765","MATTHEWS AVE","APT","3C","BRONX","10467","Bronx"
"071718-2025-CMPL","08/23/2025","311","Tow Truck Company","Demand for Cash Payment","BA-1744737-2025","On Track Towing & Transport","09/24/2025","Requested Information Not Provided",,,,"1771","MCDONALD AVE",,,"BROOKLYN","11230",
"071740-2025-CMPL","08/23/2025","Online","Other",,"BA-1699092-2024","UNLICENSED CAR WASH PARK AVE & ST PAULS PL","09/17/2025","Referred","NYC Department of Sanitation",,,,"PARK AVENUE",,,"Bronx","10456","Bronx"
"071732-2025-CMPL","08/23/2025","311","Grocery-Retail","Overcharge","BA-1744753-2025","AGRAMONTE GROCERY STORE CORP","09/24/2025","Requested Information Not Provided",,,,"1208","STRATFORD AVE",,,"BRONX","10472","Bronx"
"071710-2025-CMPL","08/23/2025","311","Auto Rental","Exchange/Refund/Return","BA-1744726-2025","NAZAR AIRPORT LIMO SERVICES INC.","09/24/2025","Requested Information Not Provided",,,,"3070","12TH ST","APT","1","ASTORIA","11102","Queens"
"071741-2025-CMPL","08/23/2025","311","Tow Truck Company","Towing Illegal or Unfair","BA-1725145-2025","JDLA Towing & Storage INC.","09/24/2025","Requested Information Not Provided",,,,,,,,,,
"071722-2025-CMPL","08/23/2025","311","Appliances","Overcharge","BA-1744741-2025","Royal","09/24/2025","Requested Information Not Provided",,,,"357","E 116TH ST",,,"NEW YORK","10029","Manhattan"
"071727-2025-CMPL","08/23/2025","311","Secondhand Dealer - Auto","Contract Terms Misleading or Not Disclosed","BA-1578326-2023","Nissan of the Bronx LLC","09/24/2025","Requested Information Not Provided",,,,"3660","BOSTON RD",,,"BRONX","10469","Bronx"
"071712-2025-CMPL","08/23/2025","311","Retail Laundry","Non-Delivery of Goods - N01","BA-1744728-2025","ELG LAUNDROMAT INC","09/24/2025","Requested Information Not Provided",,,,"1240","EDWARD L GRANT HWY",,,"BRONX","10452","Bronx"
"071729-2025-CMPL","08/23/2025","Online","Other",,"BA-1744750-2025","IN & OUT DELI GROCERYINC","09/17/2025","No Jurisdiction",,,,,"2176 2ND Ave",,,"New York","10029","Manhattan"
"071707-2025-CMPL","08/23/2025","311","Electronics Store","Exchange/Refund/Return","BA-1744723-2025","T-Mobile","09/24/2025","Requested Information Not Provided",,,,"1684","SHORE PKWY",,,"BROOKLYN","11214","Brooklyn"
"071730-2025-CMPL","08/23/2025","311","Tow Truck Company","Demand for Cash Payment","BA-1744751-2025","Crown Towing","09/24/2025","Requested Information Not Provided",,,,"1615","MCDONALD ST",,,"BRONX","10461","Bronx"
"071697-2025-CMPL","08/23/2025","Online","Other",,,,"10/17/2025","Requested Information Not Provided",,,,"SEC","7 AVENUE",,,"New York","10036","Manhattan"
"071634-2025-CMPL","08/22/2025","Online","Hotel","Other - Z01; Exchange/Refund/Return","BA-1535552-2022","Voyage Hotel","10/17/2025","Requested Information Not Provided",,,,"37-10","11 STREET",,,"LONG ISLAND CITY","11101","Queens"
"071690-2025-CMPL","08/22/2025","311","Tow Truck Company","Unsolicited/Unauthorized Services","BA-1671603-2023","BANDE AUTOMOTIVE LLC","10/22/2025","Resolved and Consumer Satisfied - SPF",,,,"18526","MERRICK BLVD",,,"SPRINGFIELD GARDENS","11413","Queens"
"071645-2025-CMPL","08/22/2025","Online","Electronics Store","Other - Z01","BA-1575151-2023","T-Mobile for Business","10/26/2025","Requested Information Not Provided",,,,"30","E 14TH ST",,,"NEW YORK","10003","Manhattan"
"071637-2025-CMPL","08/22/2025","311","Tow Truck Company","Unsolicited/Unauthorized Services","BA-1120307-2022","BEAR TRANSPORTATION LLC","10/03/2025","No Business Response - NVR",,,,"2104","BARTOW AVE",,,"BRONX","10475","Bronx"
"071650-2025-CMPL","08/22/2025","Online","Tow Truck Company",,"BA-1729532-2025","Ben & Nino Towing","10/17/2025","Requested Information Not Provided",,,,"2603","STILLWELL AVE",,,"BROOKLYN","11223","Brooklyn"
"071693-2025-CMPL","08/22/2025","Online","Tow Truck Company",,"BA-1743364-2025","TOP TIER AUTOMOTIVE INC","10/17/2025","Requested Information Not Provided",,,,"994","MCDONALD AVE",,,"BROOKLYN","11230","Brooklyn"
"071651-2025-CMPL","08/22/2025","311","Restaurant","Excessive Charges; Overcharge","BA-1744637-2025","Delmonico's","10/06/2025","No Consumer Response - NCR",,,,"56","BEAVER ST",,,"NEW YORK","10004","Manhattan"
"071633-2025-CMPL","08/22/2025","Online","Other","Overcharge","BA-1747603-2025","1604 Broadway, LLC","10/19/2025","Requested Information Not Provided",,,,,"1604 Broadway",,,"New York","10019","Manhattan"
"071631-2025-CMPL","08/22/2025","Online","Garage & Parking Lot","Other - Z01","BA-1648260-2023","Theater 50 Parking Llc","10/17/2025","Requested Information Not Provided",,,,,"307 W 50TH St",,,"New York","10019","Manhattan"
"071643-2025-CMPL","08/22/2025","311","Mini-Storage Company","Billing Dispute - B02","BA-1744621-2025","Cubesmart","09/24/2025","Requested Information Not Provided",,,,"308","DYCKMAN ST",,,"NEW YORK","10034","Manhattan"
"071642-2025-CMPL","08/22/2025","311","Landlord or Real Estate Agent","Fees or Surcharges Not Disclosed","BA-1744618-2025","RICHMOND KINGS REALTY CORP","09/24/2025","Requested Information Not Provided",,,,"60","CASE AVE",,,"STATEN ISLAND","10309","Staten Island"
"071657-2025-CMPL","08/22/2025","311","Temporary Street Fair Vendor Permit","Dissatisfaction with Provider","BA-1744648-2025","Omika","08/25/2025","Insufficient Info Received",,,,"2110","BOSTON RD",,,"BRONX","10460","Bronx"
"071664-2025-CMPL","08/22/2025","311","General Vendor","Unlicensed","BA-1744657-2025","Street Vendors","08/25/2025","Referred","NYC Department of Sanitation",,,"20","BEDFORD AVE","#","A","BROOKLYN","11222",
"071659-2025-CMPL","08/22/2025","311","Misc Non-Food Retail","Cashless Business","BA-1744650-2025","Cracker Barrel Deli","08/25/2025","Referred","Other",,,"180","MAIN ST",,,"STATEN ISLAND","10307","Staten Island"
"071628-2025-CMPL","08/22/2025","311","Other","Sidewalk Blocked","BA-1744598-2025","Tire shop","08/22/2025","Referred","NYC Police Department",,,"7413","13TH AVE",,"7413 13 Avenue","BROOKLYN","11228","Brooklyn"
"071665-2025-CMPL","08/22/2025","311","Specialized Vending License - MFV","Unlicensed","BA-1744658-2025","popcorn truck","08/25/2025","Referred","NYC Department of Health & Mental Hygiene",,,"1965","BROADWAY",,,"NEW YORK","10023","Manhattan"
"071640-2025-CMPL","08/22/2025","311","Landlord or Real Estate Agent","Required to Use  Agent","BA-1744616-2025","Metropolitan Property Group","08/25/2025","Complaint Review Complete",,,,"32","LENOX RD",,"32 Lennox Road","BROOKLYN","11226","Brooklyn"
"071678-2025-CMPL","08/22/2025","Email/Fax","Other",,"BA-1744690-2025","New York City Housing Authority","08/22/2025","Referred","Other",,,"250","BROADWAY",,,"NEW YORK","10007","Manhattan"
"071625-2025-CMPL","08/22/2025","311","Specialized Vending License - MFV","Price Not Posted; Cashless Business","BA-1736603-2025","MOBILE FOOD VENDOR","08/25/2025","Complaint Review Complete",,,,,"WASHINGTON STREET",,,"BROOKLYN","11201","Brooklyn"
"071684-2025-CMPL","08/22/2025","311","General Vendor","Unlicensed","BA-1744699-2025","THEY HAVE NO NAME","08/25/2025","Referred","NYC Department of Sanitation",,,"2365","BROADWAY",,,"NEW YORK","10024","Manhattan"
"071658-2025-CMPL","08/22/2025","311","Landlord or Real Estate Agent","Broker Fee Charged","BA-1744649-2025","RICHMOND KINGS REALTY CORP.","08/25/2025","Complaint Review Complete",,,,"60","CASE AVE",,,"STATEN ISLAND","10309","Staten Island"
"071623-2025-CMPL","08/22/2025","311","Salons And Barbershop","Advertising/Misleading - A02","BA-1744592-2025","Liz beauty salon","08/22/2025","Referred","NYC Department of Buildings",,,"235","RIDGEWOOD AVE",,"Corner","BROOKLYN","11208","Brooklyn"
"071675-2025-CMPL","08/22/2025","Email/Fax","Other",,"BA-1744683-2025","B&H EMERGENCY MEDICAL TRAINING INC.","08/22/2025","Referred","NYS Department of Education: Bureau of Proprietary School Supervision",,,"1449","37TH ST",,,"BROOKLYN","11218","Brooklyn"
"071621-2025-CMPL","08/22/2025","311","Specialized Vending License - MFV","Sidewalk Blocked","BA-1744589-2025","Corgi Jianbing LIc","08/22/2025","Referred","NYC Department of Sanitation",,,"44-05","HUNTER STREET",,,"LONG ISLAND CITY","11101",
"071620-2025-CMPL","08/22/2025","311","Other","Advertising/Misleading - A02","BA-1744588-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","08/22/2025","Complaint Review Complete",,,,"55","5TH AVE","FL","12","NEW YORK","10003","Manhattan"
"071622-2025-CMPL","08/22/2025","311","Salons And Barbershop","Unlicensed","BA-1744591-2025","Liz beauty salon","08/22/2025","Referred","NYS Liquor Authority",,,"233","RIDGEWOOD AVE",,"Corner","BROOKLYN","11208","Brooklyn"
"071674-2025-CMPL","08/22/2025","Email/Fax","Other",,"BA-1744682-2025","Bentley Records, LLC","08/22/2025","Referred","Better Business Bureau",,,"14","WALL ST",,"20","NEW YORK","10005","Manhattan"
"071629-2025-CMPL","08/22/2025","311","Restaurant","Overcharge","BA-1744885-2025","FOGON RESTAURANT CORP","08/22/2025","Inspection Requested","INS-000882027",,,"2728","E TREMONT AVE",,,"BRONX","10461","Bronx"
"071686-2025-CMPL","08/22/2025","311","Specialized Vending License - MFV","Unlicensed","BA-1744701-2025","No Name Street Vendor","08/25/2025","Referred","NYC Department of Sanitation",,,"1053","BOYNTON AVE",,,"BRONX","10472","Bronx"
"071641-2025-CMPL","08/22/2025","311","Tobacco Retail Dealer","Unlicensed","BA-1671096-2023","M N S Deli Grocery, Corp.","08/26/2025","Complaint Review Complete",,,,"3169","E TREMONT AVE",,,"BRONX","10461","Bronx"
"071682-2025-CMPL","08/22/2025","Email/Fax","Other",,"BA-1744696-2025","The New York Public Library","08/22/2025","Referred","NYS Office of the Attorney General",,,"476","5TH AVE",,,"NEW YORK","10018","Manhattan"
"071662-2025-CMPL","08/22/2025","311","Misc Non-Food Retail","Advertising/Misleading - A02","BA-1744653-2025","King deli","08/25/2025","Referred","Other",,,"2374","JEROME AVE",,,"BRONX","10468","Bronx"
"071615-2025-CMPL","08/22/2025","311","Misc Non-Food Retail","Advertising/Misleading - A02","BA-1744582-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","08/22/2025","Complaint Review Complete",,,,"55","5TH AVE",,,"NEW YORK","10003","Manhattan"
"071683-2025-CMPL","08/22/2025","311","Stoop Line Stand","Sidewalk Blocked","BA-1726192-2025","LOS CHACHACES MEAT CORP","08/26/2025","Complaint Review Complete",,,,"1033","SAINT NICHOLAS AVE",,,"NEW YORK","10032","Manhattan"
"071688-2025-CMPL","08/22/2025","311","Retail Laundry","Broken Machines; Required Signage Not Posted","BA-1744703-2025","K laundromat","08/25/2025","Referred","NYC Department of Health & Mental Hygiene",,,"286","SMITH ST","#","1","BROOKLYN","11231","Brooklyn"
"071616-2025-CMPL","08/22/2025","311","Misc Non-Food Retail","Advertising/Misleading - A02","BA-1744583-2025","MEMORIAL SLOAN KETTERING CANCER CENTER","08/22/2025","Complaint Review Complete",,,,"55","5TH AVE",,,"NEW YORK","10003","Manhattan"
"071685-2025-CMPL","08/22/2025","311","Misc Non-Food Retail","Price Not Posted","BA-1745031-2025","howard convenience store","08/26/2025","Insufficient Info Received",,,,"7","QUEENS BOULEVARD",,,"FOREST HILLS","11375","Queens"
"071655-2025-CMPL","08/22/2025","Email/Fax","Debt Collection Agency",,"BA-1744644-2025","HF HOLDINGS INC.","08/22/2025","Referred","Federal Communications Commission",,,"1707","ORLANDO CENTRAL PKWY",,"440","ORLANDO","32809",
"071667-2025-CMPL","08/22/2025","Email/Fax","Salons And Barbershop",,"BA-1744660-2025","QQ Nails & Spa","08/22/2025","Referred","NYC Department of Health & Mental Hygiene",,,"491","6TH AVE",,,"NEW YORK","10011","Manhattan"
"071624-2025-CMPL","08/22/2025","311","Grocery-Retail","Overcharge","BA-1744593-2025","Brooklyn deli","08/22/2025","Referred","NYS Office of the Attorney General",,,"115","WILLOUGHBY ST",,,"BROOKLYN","11201","Brooklyn"
"071635-2025-CMPL","08/22/2025","311","Car Wash","Unlicensed","BA-1744609-2025","car wash","08/25/2025","Referred","NYC Department of Sanitation",,,"15","E 213TH ST",,,"BRONX","10467","Bronx"
"071672-2025-CMPL","08/22/2025","311","Wearing Apparel","Advertising/Misleading - A02","BA-1744672-2025","barry n brose","08/25/2025","Insufficient Info Received",,,,"315","W 39TH ST",,,"NEW YORK","10018","Manhattan"
"071644-2025-CMPL","08/22/2025","311","Garage & Parking Lot","License or Complaint Sign Not Displayed","BA-1744622-2025","Atlas management Realty Corp.","08/25/2025","Referred","NYC Department of Buildings",,,"3926","BELL BLVD","FL","2","BAYSIDE","11361","Queens"
"071689-2025-CMPL","08/22/2025","Hardcopy","Other","Billing Dispute - B02; Contract or Billing Dispute","BA-1744704-2025","SB Home Buyers","08/22/2025","Referred","NYS Department of State",,,"1110","BRICKELL AVE",,,"MIAMI","33131",
"071638-2025-CMPL","08/22/2025","311","Tow Truck Company","Demand for Cash Payment","BA-1744614-2025","NYPLE Inc.","09/24/2025","Requested Information Not Provided",,,,"1841","STEINWAY ST",,,"ASTORIA","11105","Queens"
"071656-2025-CMPL","08/22/2025","311","Micromobility Device Store","E-Bike Sold or Leased Without Safety Certification","BA-1744645-2025","Neo Mobil INC","09/24/2025","Requested Information Not Provided",,,,"9543","ROOSEVELT AVE",,,"JACKSON HEIGHTS","11372","Queens"
"071614-2025-CMPL","08/22/2025","Online","Landlord or Real Estate Agent","Broker Fee Listed","BA-1744576-2025","WIN ZONE REALTY","09/17/2025","Complaint Review Complete",,,,,"8115 Queens Blvd Ste 1",,,"Flushing","11373",
"071636-2025-CMPL","08/22/2025","Phone","Furniture Sales",,"BA-1744613-2025","Maddy's Home Furniture","09/21/2025","Requested Information Not Provided",,,,"601","W 207TH ST",,,"NEW YORK","10034","Manhattan"
"071679-2025-CMPL","08/22/2025","Hardcopy","Home Improvement Contractor",,"BA-1744692-2025","L&A Glass Store Front Inc","09/21/2025","Requested Information Not Provided",,,,"738","65TH ST",,,"BROOKLYN","11220","Brooklyn"
"071647-2025-CMPL","08/22/2025","311","Home Improvement Contractor","Non-Delivery of Goods - N01","BA-1744631-2025","Super Roofer","09/24/2025","Requested Information Not Provided",,,,"18","71ST ST",,,"BROOKLYN","11209","Brooklyn"
"071630-2025-CMPL","08/22/2025","311","Secondhand Dealer - Auto","Title Not Provided","BA-1317660-2022","LOS MUCHACHOS REPAIR SHOP CORP","09/21/2025","Requested Information Not Provided",,,,"1604","BUSHWICK AVE",,,"BROOKLYN","11207","Brooklyn"
"071680-2025-CMPL","08/22/2025","311","Tow Truck Company","Unsolicited/Unauthorized Services","BA-1744693-2025","BEN & NINO AUTO REPAIR INC.","09/24/2025","Requested Information Not Provided",,,,"2603","STILLWELL AVE",,,"BROOKLYN","11223","Brooklyn"
"071692-2025-CMPL","08/22/2025","Online","Retail Store",,"BA-1744708-2025","BLG HARDWARE, LLC","09/17/2025","Referred","Other",,,"439","MALCOLM X BLVD",,,"NEW YORK","10037","Manhattan"
"071663-2025-CMPL","08/22/2025","311","Storage Warehouse","Lost/Stolen/Damaged Property","BA-1744655-2025","LIFE STORAGE","09/24/2025","Requested Information Not Provided",,,,"134-31","MERRICK BOULEVARD",,,"SPRINGFIELD GARDENS","11413","Queens"
"071691-2025-CMPL","08/22/2025","311","Restaurant","Overcharge","BA-1744707-2025","BANHMI-PRO","09/24/2025","Insufficient Info Received",,,,,"537 ATLANTIC AVENUE",,"FL 1","BROOKLYN","11217","Brooklyn"
"071687-2025-CMPL","08/22/2025","Online","Grocery-Retail",,"BA-1744702-2025","Americas Food Basket, Inc.","09/17/2025","Referred","NYC Police Department",,,"1410","SAINT JOHNS PL",,,"BROOKLYN","11213","Brooklyn"
"071654-2025-CMPL","08/22/2025","Online","Tow Truck Company",,"BA-1113156-2022","ALLSTAR AUTOMOTIVE CORP.","09/17/2025","Insufficient Info Received",,,,"3730","MERRITT AVE",,,"BRONX","10466","Bronx"
"071646-2025-CMPL","08/22/2025","311","Appliances","Non-Delivery of Goods - N01","BA-1744627-2025","SEARS, ROEBUCK AND CO.","09/24/2025","Requested Information Not Provided",,,,"2307","BEVERLEY RD",,,"BROOKLYN","11226","Brooklyn"
"071668-2025-CMPL","08/22/2025","Online","Landlord or Real Estate Agent",,"BA-1744661-2025","UrbanApartmentsNYC","09/17/2025","Complaint Review Complete",,,,"41","UNION SQ W","STE","325","NEW YORK","10003","Manhattan"
"071669-2025-CMPL","08/22/2025","Online","Grocery-Retail",,"BA-1744665-2025","Brutus 123 Inc.","09/17/2025","Referred","Other",,,,"2892 Broadway",,,"New York","10025","Manhattan"
"071653-2025-CMPL","08/22/2025","311","Auto Rental","Non-Delivery of Goods - N01","BA-1744641-2025","Zip Car","09/24/2025","Requested Information Not Provided",,,,"818","LEXINGTON AVE",,,"BROOKLYN","11221","Brooklyn"
"071652-2025-CMPL","08/22/2025","311","Tow Truck Company","Unsolicited/Unauthorized Services","BA-1744638-2025","Legacy Towing","09/24/2025","Requested Information Not Provided",,,,,"108-30 46 AVENUE",,"1st Floor","CORONA","11368","Queens"
"071648-2025-CMPL","08/22/2025","311","Home Improvement Contractor","Quality of Work - Q01","BA-1744632-2025","BIG JOHN'S ROOFING","09/08/2025","Complaint Review Complete",,,,"34","N 6TH ST",,,"BROOKLYN","11249","Brooklyn"
"071681-2025-CMPL","08/22/2025","Email/Fax","Tow Truck Company",,,,"09/24/2025","Requested Information Not Provided",,,,,,,,,,
"071627-2025-CMPL","08/22/2025","Online","Tobacco Retail Dealer","Unlicensed","BA-1744686-2025","TIMS GUN HIL DELI CORP.","09/19/2025","Complaint Review Complete",,,,"330","E GUN HILL RD",,,"BRONX","10467","Bronx"
"071632-2025-CMPL","08/22/2025","311","Tow Truck Company","Unsolicited/Unauthorized Services","BA-1744602-2025","BEAR TRANSPORTATION LLC","09/24/2025","Requested Information Not Provided",,,,"953","COLGATE AVE",,,"BRONX","10473","Bronx"
"071661-2025-CMPL","08/22/2025","Online","Other",,"BA-1685948-2024","CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.","09/17/2025","Referred","NYS Public Service Commission",,,,"850 12TH Ave FL 3",,,"New York","10019",
"071626-2025-CMPL","08/22/2025","311","Hotel","Unclean Room","BA-1744595-2025","The Lodge Red Hook","09/21/2025","Requested Information Not Provided",,,,"17","SEABRING ST",,,"BROOKLYN","11231","Brooklyn"
"071671-2025-CMPL","08/22/2025","311","Tow Truck Company","Exchange/Refund/Return","BA-1208257-2022","FORRESTER'S TOWING INC.","09/24/2025","Requested Information Not Provided",,,,"723","UTICA AVE",,,"BROOKLYN","11203","Brooklyn"
"071618-2025-CMPL","08/22/2025","Online","Other","Other - Z01","BA-1744586-2025","Mayfair Placement Agency, INC.","09/30/2025","Resolved and Consumer Satisfied - SPF",,,,,"211 E 43RD St FL 7 Pmb 729",,,"New York","10017",
"071649-2025-CMPL","08/22/2025","311","Employment Agency","Billing Dispute - B02","BA-1744636-2025","Parent care","09/24/2025","Requested Information Not Provided",,,,"293","PENN ST",,"293 Penn Street","BROOKLYN","11211","Brooklyn"
"071677-2025-CMPL","08/22/2025","Online","Other",,"BA-1744688-2025","semicolon cafe","09/17/2025","Insufficient Info Received",,,,"9","EDWARD M MORGAN PL",,,"NEW YORK","10032","Manhattan"
"071660-2025-CMPL","08/22/2025","311","Supermarket","Overcharge","BA-1744651-2025","Nuthut","09/24/2025","Requested Information Not Provided",,,,"6918","5TH AVE",,,"BROOKLYN","11209","Brooklyn"
"071533-2025-CMPL","08/21/2025","Online","Automated Employment Decision Tool","Other - Z01","BA-1744437-2025","LINCOLN TECHNICAL INSTITUTE, INC.","10/26/2025","Complaint Review Complete",,,,,"1530 Petracca Pl",,,"Whitestone","11357","Queens"
"071602-2025-CMPL","08/21/2025","Online","Mini-Storage Company","Unauthorized charges","BA-1744560-2025","EXTRA SPACE STORAGE","10/17/2025","Advised to Sue - ATS",,,,,"359 Wales Ave",,,"Bronx","10454","Bronx"
"071568-2025-CMPL","08/21/2025","Online","Electronic & Home Appliance Service Dealer","Defective Goods - D02","BA-1340061-2022","Google Store Chelsea","10/02/2025","Resolved and Consumer Satisfied - SPF",,,,"76","9TH AVE",,,"NEW YORK","10011","Manhattan"
"071551-2025-CMPL","08/21/2025","Online","Secondhand Dealer - Auto","Defective Goods - D02","BA-1202188-2022","CITY WORLD MOTORS, L.L.C.","10/17/2025","Requested Information Not Provided",,,,"3333","BOSTON RD",,,"BRONX","10469","Bronx"
"071596-2025-CMPL","08/21/2025","Hardcopy","Travel Agency",,"BA-1744555-2025","PRICELINE.COM","10/15/2025","Credit Card Refund and/or Contract Cancelled - CRC",,,"$419","800","CONNECTICUT AVE",,,"NORWALK","06854","Outside NYC"
"071531-2025-CMPL","08/21/2025","Online","Electronic & Home Appliance Service Dealer","Non-Delivery of Service - N02","BA-1319744-2022","GO COMPUTERS CORP.","10/09/2025","Cash Amount - AMT",,,"$359","2484","AC POWELL BLVD",,,"NEW YORK","10030","Manhattan"
"071543-2025-CMPL","08/21/2025","Online","Ticket Seller Business","Exchange/Refund/Return","BA-1704511-2024","THE SIGHTSEEING PASS","10/17/2025","No Business Response - NVR",,,,"1430","BROADWAY",,,"NEW YORK","10018","Manhattan"
"071597-2025-CMPL","08/21/2025","Online","Misc Non-Food Retail","Overcharge","BA-1744554-2025","DOLLAR TREE STORES, INC.","10/17/2025","Requested Information Not Provided",,,,"2026","WESTCHESTER AVE",,,"BRONX","10462","Bronx"
